title,date,rating,review,isEdited,userName
คืออะไรคะ ?,2019-03-04 04:36:21,1,ทำไมอยู่ๆร้านอาหารถึงปิดชั่วคราวหมดเลย ? แอพมีปัญหาอะไรคะทำไมถึงสั่งได้แต่แม็ค ? งงมากช่วยปรับปรุงด้วยนะคะ ตอนแรกก่อนจะติดตั้งแอพก็อ่านนรีวิวมาเห็นคนคอมเพลย์เยอะมาก เลยไม่คิดอะไรพอเจอกับตัวถึงรู้เลยค่า,FALSE,กูนี่แหละไอสาส
เคยเลิกสั่งมาครั้งหนึ่งกลับมาสั่งก็ห่วยเหมือนเดิม,2019-02-19 04:39:10,1,"ก่อนหน้านี้สั่งอาหาร อยากจะยกเลิกก็ยกเลิก ทั้งที่รออาหารเกือบชม. แล้วก็มีเมล์มาว่ายกเลิกเฉยเลย
ครั้งนี้ได้โค้ดส่วนลดของกรุงศรี 100บาท สั่งเสร็จ แอพยกเลิก แล้วคือไร โค้ดนั้นก็ใช้ไม่ได้อีก โทรเข้าเบอร์call center ที่ให้ไว้เป็นtravelloka คุยก็ไม่รู้เรื่องคนรับพูดภาษาเขมร คือไรแอพนี้ งงไปหมด",FALSE,Knight-18
หลอกลวงนะครับ ขออกมาเตือนUSERกันนะครัย,2019-02-08 08:53:54,1,"แอพนี้นะครับ หลอกลวงการขายสินค้านะครับ สั่งของรอนานมาก และไม่ได้ของยกเลิกออเดอร์แล้งริบเงินเราด้วย
ผมขอกล่าวให้ฟังตั้งแต่เริ่มนะครับ
1.แอพพลิเคชันให้มีการลงทะเบียนที่ลิงค์กับเฟซ ซึงเรากดโอเคสมัครแล้งหน้าเพจลิงค์ไปเฟซกดโอเค จากนั้นสามารถใช้งานแอพได้เลยผม โดยไม่ได้มีการVerify ข้อมูลเบอร์ อีเมลล์ยืนยันอีกรอบ 
2.หลังจากกดสมัครเสร็จผ่านลิงค์ที่เชื่อมกับเฟซผมก็สั่งอาหารปกติ แต่เวลาการรอรอนานมากๆ74นาที ส่วนตัวโอเครอได้ แต่ระไม่ยุติธรรมกับผม ผมรอมีชั่วโมง14นาที Rider มาส่ง ส่งไม่ถึงมือเรา เราให้รายละเอียดบ้านไม่มีเข้ามาสอบถามที่หมู่บ้าน สุดท้ายกดยกเลิกการส่ง้ราไม่คืนเงิน เท่ากับ เราจ่ายฟรี 611 บาท ตรงจุดนี้เอาเปรียบมาก
3.โทรขอความช่วยเหลือ ศูนย์กลางคอลเซ็นเตอร์มีแต่แชทและช้ามากในการแกปัญหา อีกทั้งใช้ระยะเวลานานในการติดต่อประสานงาน และยืนยันในการตรวจสอบที่เอาประโยชน์เข้าตัวเองโดยบอกว่าเราลงทะเบียนผ่านเมลล์ซึ่งลงทะเบียนแล้ว และใช้เบอร์ไหนก็ไม่รู้มาใช้ในการลงทะเบียนเมลล์ผม ทำให้เกิดปัญหาตรงนี้ที่ทำให้ผมไม่ได้รับของ และRiderติดต่อไม่ได้ ดังนั้นสรุปเลย ผมสมัครแอพนี้ผ่านลิงค์เชื่อมเฟซ แอพไปดึงเบอร์อะไรมาไม่รู้ แล้วไม่มีการให้Verify สุดท้ายพอส่งของเรากลับไม่ได้ของ เพราะติดต่อกันไม่ได้ แล้วก็มาริบเงินเรา 
ขอเตือนภัยนะครับ คนไทยใครจะใช้คิดให้ดี
บริษัทนี่ไม่มีจดทะเบียนในบ้านเรา มาค้าขายทำมาหากินในประเทศไทยของเรา ถ้าเกิดอะไรขึ้นเราเสียเปรียบนะครับ ฟ้องร้องก็ใช้เวลาเพราะหาผู้ทำความผิดไม่ได้อยู่ต่างประเทศนะครับ",FALSE,Kanatsanan w
ออเดอร์หาย,2020-03-13 06:07:22,5,หลายครั้งแล้วที่โดนแคนเซิลออเดอร์ แบบพอเข้ามาดู. เวลามากขึ้นเรื่อยๆ สักพักไม่มีออเดอร์แล้ว,FALSE,น้ำตา ล กับบอย
เมื่อก่อนมีค่าบริการ,2019-10-26 11:42:15,2,พอลูกค้าเริ่มติดคิดค่าบริการเฉยเลย,FALSE,mnbzk
สงสัยเรื่องราคา,2021-01-28 04:24:34,1,ทำไมหน้าแรกบอกลดจาก70 เป็นสามสิบกว่าบาท แต่พอจะกดยืนยันสั่งซื้อ ราคากลับไม่ลดตามที่บอก,FALSE,chikgdgljida
บริการดี จัดส่งเร็ว,2020-12-27 09:37:21,5,สะดวกดีค่ะ ชอบตรงที่สั่งอาหารล่วงหน้าได้,FALSE,Sitanun1479
รีวิวแอพ,2021-01-26 13:12:29,2,ห่วยแตกค่ะ เพิ่มเบอร์โทรติดต่อร้านที่สั่งที่ติดต่อได้ให้หน่อยนะคะ จะได้ตามไปด่าค่ะ สั่งอาหารไปแล้วได้ของไม่ครบ ไม่มีที่ติดต่อกลับเลยค่ะ เพิ่มให้คนส่งเช็คของก่อนมาส่งก็ดีนะคะ แบบนี้มันเอาเปรียบผู้บริโภคค่ะ,FALSE,mingurenarak
Foodpanda rewards,2021-01-05 09:42:40,3,No foodpanda rewards iphone 6s,FALSE,Aey & ai
จ่ายเงินแบบตัดผ่านบัตรเครดิตไม่ได้,2021-01-04 06:37:55,1,เป็นลูกค้า Foodpanda มาปีกว่าใช้ประจำแต่ล่าสุดเปลี่ยนบัตรใหม่ก็เลยต้องลบข้อมูลบัตรเดิม กลายเป็นว่าทุกวันนี้ไม่สามารถใส่ข้อมูลบัตรใหม่ได้เพราะเจอบัคตรงวันหมดอายุบัตร ลบแล้วติดตั้งใหม่ก็ไม่ช่วย อีเมลแจ้งปัญไปเป็นเดือนก็ไม่ได้การตอบกลับ น่าเสียดายที่เคยเป็นแอปประจำ ปัจจุบันย้ายไปแกรปเรียบร้อยแล้ว,FALSE,mooninji
