review,rating,isEdited,title,date,userName
"บริการดี รวดเร็ว มืออาชีพ
ได้สินค้าตามสั่งอย่างที่ต้องการ",5,FALSE,Good service ??????????????????????,15/3/2021 20:44,Mai /Bangkok
พนักงานโทรมายืนยัน สถานที่ส่งของก่อน กันการผิดพลาด สุภาพเรียบร้อย ส่งของครบตามออเดอร์  รออาหารไม่นานค่ะ ถ้ารอนายกว่านี้นิดนึงก็รับได้ อยากให้ พนง ทุกคน ห่วงตัวเอง ขับรถให้ปลอดภัยมากกว่า,5,FALSE,Very Happy with his service.,15/3/2021 10:22,TuesdayShine
ซื้อโดนัดที่ห้างแห่งหนึ่ง ราคา264฿ ใช้ส่วนลดลูกค้าใหม่80฿ แต่พอคนส่งของมาถึงกลับจ่ายราคาเต็มควรปรับปรุงระบบด้วยนะค่ะ,1,FALSE,ระบบส่วนลดมีปัญหารึป่าวค่ะ,15/3/2021 11:13,ซีพาสพาส
คือดีมาก ร้านใส่ใจ มีผักครบ ห้อใบตอง ช้อนกระดาษ รสชาตดี ( สั่งข้าวผัดน้ำพริกกระปิ) ได้ปลาทูแกะก้าวทั้งตัว ในราคา 60.- คือคุ้มมาก,5,FALSE,รีวิวอาหาร,15/3/2021 2:22,kanchanarat
จัดส่งรวดเร็ว อาหารได้ครบตามที่สั่ง คนขับส่งบริการสุภาพดีมากครับ,5,FALSE,เรื่องของโจ๊ก,14/3/2021 15:02,Nu Pitsanu
ค,5,FALSE,คนขับพูดจาดีและสุภาพมากๆคะ,14/3/2021 13:27,parasos
อยากให้มีให้เขียนคอมเม้นเกี่ยวกับรายการอาหารที่ได้รับ แล้วก็อยากให้สามารถติ้กความพึงพอใจได้หลายๆช่องพร้อมกันอย่างเช่น ร้านอาหารคุณภาพดีคือจะติ๊กก็ติ๊กได้แค่ช่องเดียวอะ แล้วคนขับก็สุภาพอยากจะติ๊กให้ก็ติ๊กไม่ได้เพราะติ๊กร้านอาหารไปแล้วงี้อะค่ะ,5,FALSE,อ่านด้วย,14/3/2021 12:53,เพลงpleng
อาหารอร่อยมาก ขนมปังปิ้งกำลังดี คนส่งก็ดี พูดจาดีมาก มาเร็วด้วย,5,FALSE,ชื่นชม,14/3/2021 12:18,Gartoonmimme
นิสัยดี พูดเพราะ,5,FALSE,ส่งอาหาร,14/3/2021 10:29,nattarika2263
อาหารได้เยอะมาก อร่อยมาก,5,FALSE,อาหาร,14/3/2021 10:10,1.25749E+11
เร็วมากก,5,FALSE,ไลน์แมนบริการดีมากกกก,14/3/2021 6:23,ห่ารากกก
"น่าจะมีการให้คะแนน ร้านค้าได้นะครับ บางร้านก็ไม่ตรงปก บางร้านที่รับเราชนะ ก็ให้น้อยมาก 
และบางทีแอฟก็ไม่เสถียร",2,FALSE,ฝากถึง,14/3/2021 7:03,นุทาโร่
บริการดีมากค่ะ,5,FALSE,ฝากถึงไลน์แมน,13/3/2021 18:59,เกศวลี
ค่าจัดส่ง  บางครั้งแพงเกินไป,4,FALSE,ค่าจัดส่ง,14/3/2021 5:45,คิด วิเคราะ แยกแยะ
เมื่อไหร่iosจะมีline man rider,3,FALSE,ควรพัฒนา,14/3/2021 3:17,AumzMolares
รบกวนช่วยทำช่องแชทคุยกับไลน์แมนด้วยนะคะ,5,FALSE,อยากให้มีช่องแชทคุยกับไลน์แมนด้วย,13/3/2021 12:38,champaign19
คนขับมารยาทดีมากๆค่ะ,5,FALSE,คอมเม้นไลเดอร์,13/3/2021 10:47,วลัยมาศ
ให้ติ๊บไป 120 ด้วย,5,FALSE,ให้บริการอย่างดี,13/3/2021 1:58,ไปร น่ะค่ะ
คนขับน่ารักดีสอบถามรายละเอียดก่อนสั่งค่ะ,5,FALSE,คนขับสุภาพ,12/3/2021 12:05,เดือนแรม
"จะใช้สิทธ์เราชนะแต่พอร้านส่งโค้ดมาก็สแกนไม่ได้ จะแคนเซิลออเดอร์ก็ไม่ทันแล้ว สรุปก็คือต้องจ่ายเอง

+ ส่งเรื่องไปทางcustomer serviceมาจะอาทิตย์นึงแล้ว จะไม่มีใครติดต่อกลับมาเลยหรอคะ??",1,FALSE,ใช้เราชนะไม่ได้ / ไม่มีใครตอบกลับปัญหา,12/3/2021 13:49,bkmllll
ค่าส่งแพง พนักงานไร้คุณภาพและความกระตือรือร้น,1,FALSE,แย่,12/3/2021 12:09,Piyabutr niemwiwad
Good,5,FALSE,Good,12/3/2021 11:24,Mc Natthapong
บริการดีส่งสินค้าไว,5,FALSE,บริการดีมาก,12/3/2021 6:49,mintshee
เป็นที่เราคนเดียวรึเปล่าไม่รู้ใช้เราชนะกับไลน์สั่งอาหารไม่ได้เลย สองรอบต้องจ่ายเองตลอด,1,FALSE,ใช้เราชนะกับไลน์แมน,12/3/2021 9:04,@123ไม่รู้
น่ารักค่ะ,5,FALSE,น้องน่ารัก มีแต่ความสุภาพ,12/3/2021 5:54,Wannipha S
????,5,FALSE,คนขับใจดีมากครับ ช่วยให้ได้ใช้เราชนะ ??,11/3/2021 16:10,pppoufffd
บริการของพนักงานดีแล้ว แต่ร้านค้าควรมีมาตรฐานการขายนิดยึง ปริมาณอาหารนิดนึง อย่าเอาแต่กำไรเนาะ ??,3,FALSE,อาหารน้อย,12/3/2021 4:58,Goooooddd game
ไว เร็วดี,5,FALSE,รวดเร็ว,11/3/2021 11:39,VekunG
การจัดส่วรวดเร็ว ออร์เดอร์ตรง แต่แอพชอบยกเลิกออร์เดอร์ให้เอง,4,FALSE,การจัดส่ง,11/3/2021 11:50,Slotheria
??????????,5,FALSE,รวดเร็วมากค่ะ,11/3/2021 7:31,กูเอง2019
ผมกด cancel order ทันทีแต่กว่าจะมีคนมารับเรื่องทางร้านอาหารก็เตรียมอาหารไปแล้ว สุดท้ายกดยกเลิกไม่ทัน แนะนำให้โทรไปที่ร้านเลยดีกว่าครับ อย่าไปรอทีมที่ทำงานล่าช้าแบบนี้ครับ,1,FALSE,support ทำงานล่าช้า,11/3/2021 10:33,gunnhpsx
อร่อย กรอป ไม่เลี่ยนค่ะ,5,FALSE,เครป,11/3/2021 6:45,แนน-แนน
ไม่สามารถสแกนจ่ายคนละครึ่งได้,5,FALSE,การชำระเงิน,10/3/2021 13:31,Mewlita
เหนื่อยใจ มีแต่ให้เพิ่มเมนูแต่ไม่ให้ลบออก ควรมีกดยกเลิกคำสั่งเมนูที่เปลี่ยนใจ ไม่ใช่ให้โทรไปติดต่อกับร้านเอง,1,FALSE,แย่ควรปรับปรุงเร่งด่วน,11/3/2021 4:01,nitipong22
